client_id,city_nm,Total_spent
1-5U2ULND,Москва,181.25
1-5UDT7HD,Челябинск,1009.0
1-5V2091N,Омск,450.0
1-5Y1AB5P,Москва,22.35
1-5Z8ZIVM,Екатеринбург,929.0
1-5ZVH99G,Уфа,555.0
1-60CUXAP,Москва,128.75
1-60DNJ5F,Екатеринбург,435.0
1-61MCDY3,Москва,130.0
1-62K6DJZ,Санкт-Петербург,657.9
1-62KJ6M1,Москва,1709.0
1-62PCSGH,Москва,334.88
1-65IQPCY,Москва,159.6
1-6AFZP91,Москва,181.25
1-6BQ2Q95,Краснодар,39.8
1-6F5Q4GT,Москва,354.75
1-6FBE198,Москва,499.0
1-6GSPNAN,Москва,149.01
1-6MQHVAT,Москва,3498.0
1-6MQWG7M,Москва,15.0
1-6OXMT5M,Воронеж,929.0
1-6S8XASX,Москва,829.0
1-6UJEXC7,Новосибирск,299.0
1-6USG9WF,Москва,29.0
1-6VOH18S,Санкт-Петербург,537.3
1-6W4GU8K,Ростов-на-Дону,412.0
1-6ZFWSA5,Санкт-Петербург,1099.0
1-6ZZV1AX,Уфа,59.8
1-72Z1QCJ,Краснодар,494.45
1-73XQVMJ,Новосибирск,360.0
1-755ZOAO,Москва,2387.9700000000003
1-780RXS8,Москва,1600.0
1-782MXKY,Уфа,25.98
1-7AWM6LS,Москва,267.3
1-7CBIIB9,Москва,1343.35
1-7CSGSPS,Москва,440.0
1-7EDXQG0,Москва,79.9
1-7FR40JJ,Москва,515.0
1-7FSOD90,Москва,640.0
1-7G0BYM1,Санкт-Петербург,1999.0
1-7GW14GQ,Москва,608.0
1-7I91MNB,Москва,899.5
1-7J56WMJ,Челябинск,385.0
1-7JOSRID,Москва,3656.62
1-7LQ5UP7,Новосибирск,1084.0
1-7LQ5UP7,Санкт-Петербург,154.0
1-7MM2ME7,Санкт-Петербург,3328.0
1-7MPTCPB,Ростов-на-Дону,499.5
1-7P97OSL,Москва,1600.0
1-7QF98S3,Москва,158.55
1-7QF98S3,Новосибирск,79.9
1-7TSELKC,Новосибирск,79.9
1-7TUSPOS,Москва,812.0
1-7UO237N,Москва,391.37
1-7UO237N,Новосибирск,689.12
1-7UO237N,Самара,331.8
1-7UPE0P0,Санкт-Петербург,72.0
1-7VCR2Q6,Москва,1999.0
1-7VYMUBL,Москва,1291.54
1-7W1QEU6,Нижний Новгород,232.5
1-7WHVNYC,Санкт-Петербург,435.0
1-7Z480WP,Москва,1734.0
1-7Z480WP,Омск,252.0
1-7ZZXZTC,Москва,324.35
1-80BI8GU,Москва,2028.0
1-80BI8GU,Омск,1099.0
1-80BI8GU,Санкт-Петербург,1099.0
1-80RNIN1,Москва,384.45
1-81L81RE,Санкт-Петербург,390.0
1-82R9YX3,Москва,325.0
1-84QUV7A,Санкт-Петербург,299.4
1-8B6BTKV,Москва,39.9
1-8BXMIQX,Москва,1999.0
1-8BXMIQX,Санкт-Петербург,269.85
1-8CTV3A8,Москва,738.85
1-8CTV3A8,Новосибирск,399.0
1-8EPZLTE,Екатеринбург,435.0
1-8GJQLVA,Санкт-Петербург,559.6
1-8H8VAWZ,Санкт-Петербург,154.0
1-8I3POSS,Москва,329.0
1-8I3POSS,Омск,199.0
1-8I3POSS,Санкт-Петербург,133.0
1-8IVH9US,Санкт-Петербург,419.0
1-8LT93GK,Москва,1296.76
1-8PM6GOF,Москва,759.6
1-8PM6GOF,Челябинск,329.67
1-8Q7DRH0,Красноярск,1099.0
1-8Q7DRH0,Москва,348.0
1-8STII0F,Москва,599.0
1-8V66FR4,Санкт-Петербург,549.0
1-8VROTCK,Москва,1918.0
1-8XHD8PR,Москва,1600.0
1-8Z1VYIN,Москва,79.9
1-8ZXCXQO,Санкт-Петербург,1540.6
1-90G3R60,Москва,29.9
1-92KX820,Москва,899.0
1-970GSU4,Москва,392.0
1-970GSU4,Омск,360.0
1-970GSU4,Санкт-Петербург,2479.0
1-994T95G,Санкт-Петербург,2799.3
1-9BACJT1,Москва,75.52
1-9CYVREJ,Москва,3420.3
1-9GI2D7Q,Москва,360.0
1-9GI2D7Q,Самара,1028.0
1-9GO5XHC,Москва,125.72
1-9HNRAOQ,Казань,87.0
1-9I9DA5C,Санкт-Петербург,195.0
1-9KI9DOI,Москва,694.0
1-9NR0SPJ,Москва,358.9
1-9O0FCL0,Москва,119.8
1-9O7FMY2,Москва,39.09
1-9OWWVG7,Челябинск,1130.65
1-9PKHPW3,Москва,909.0
1-9QXFUF8,Уфа,2479.0
1-9SIURP9,Москва,599.0
1-9SL3S5W,Пермь,1678.1
1-9SY1HT8,Москва,129.0
1-9TMXQDO,Новосибирск,329.67
1-9UCP4BZ,Санкт-Петербург,3712.15
1-9V5SY1I,Санкт-Петербург,329.67
1-9WN5XSL,Воронеж,1289.0
1-9Y5T2ZR,Москва,515.0
1-9YC21T9,Москва,1360.0
1-9Z1AD0N,Москва,19.8
1-A049PGC,Москва,239.2
1-A4GWS24,Челябинск,819.0
1-A7E2JQD,Санкт-Петербург,298.26
1-A8IEDML,Москва,684.6
1-A8L1V3V,Москва,1499.0
1-A93FA36,Москва,2030.0
1-A9AQTQ6,Москва,360.0
1-A9BXK1M,Москва,2799.3
1-AATKDOF,Нижний Новгород,599.0
1-ACCLT6V,Красноярск,269.85
1-ACPYYCY,Москва,249.5
1-ACVCCUR,Санкт-Петербург,679.0
1-ADL4QLG,Москва,3083.1
1-AEREHH1,Москва,425.0
1-AF2SAQ5,Самара,679.0
1-AFAF4DO,Казань,128.75
1-AFDNRIU,Москва,2998.0
1-AGUNWZZ,Москва,1098.2
1-AHZVQLL,Москва,62.25
1-AKY05PN,Красноярск,1299.0
1-AKY05PN,Москва,369.0
1-AKY2D1K,Москва,359.8
1-ALF9XA8,Москва,882.55
1-AMHL3OU,Москва,3959.4
1-AMHL3OU,Санкт-Петербург,814.0
1-AN0HHJZ,Москва,25.98
1-AO7YSEO,Москва,1343.1
1-APUS161,Казань,1659.0
1-AQW7Z1T,Москва,149.75
1-AQZ5W7Q,Москва,329.0
1-AR5UPC7,Новосибирск,547.8
1-ARDA1SC,Москва,999.0
1-AS1CWPD,Москва,259.0
1-ATSL1EN,Москва,2172.26
1-AU95C4G,Москва,930.0
1-AUS65NY,Москва,1999.0
1-AUSX406,Санкт-Петербург,899.0
1-AVVHGM4,Москва,82.0
1-AW8WLP3,Нижний Новгород,2799.3
1-AW8WLP3,Санкт-Петербург,1027.0
1-AXALYL2,Самара,288.0
1-AZ1A7XU,Москва,839.0
1-B0FV1AT,Москва,82.0
1-B0FYW3Q,Москва,419.0
1-B0TM5XG,Москва,2921.16
1-B10RFC5,Казань,29.0
1-B1HAU4X,Красноярск,933.9
1-B1HAU4X,Санкт-Петербург,216.0
1-B32HE4Z,Москва,1174.0
1-B32HE4Z,Санкт-Петербург,1035.0
1-B3EZJLS,Санкт-Петербург,999.0
1-B5E2RFR,Москва,2190.5
1-B5ICBIG,Москва,537.6
1-B5JVOFH,Москва,1600.0
1-B6YT00U,Москва,2479.0
1-B7TQGY3,Москва,1600.0
1-B87YGIR,Екатеринбург,24.9
1-B8HCHH9,Челябинск,1748.25
1-B8TWUU1,Москва,742.6
1-B9SD13B,Москва,62.25
1-BA0M8RN,Санкт-Петербург,199.0
1-BA4IECM,Москва,2599.0
1-BA80TM1,Москва,3709.3
1-BACOCOS,Екатеринбург,2027.0
1-BAOALAA,Москва,1999.0
1-BETCFMJ,Москва,1248.3
1-BG62AVI,Санкт-Петербург,1600.0
1-BHTYFOV,Москва,24.9
1-BI15RPO,Москва,788.0
1-BIQIJQ3,Краснодар,175.0
1-BIQIJQ3,Красноярск,2479.0
1-BIQIJQ3,Новосибирск,102.0
1-BIQIJQ3,Санкт-Петербург,723.0
1-BL15TWH,Санкт-Петербург,24.9
1-BLFPY1Y,Екатеринбург,240.0
1-BLFPY1Y,Санкт-Петербург,910.0
1-BLV9CNX,Санкт-Петербург,360.0
1-BMI2YZE,Ростов-на-Дону,910.0
1-BN6B68V,Москва,419.0
1-BOLNHZZ,Екатеринбург,399.6
1-BPSGL7N,Санкт-Петербург,825.0
1-BPT6W2X,Москва,1780.6
1-BR9TTG5,Краснодар,37.35
1-BREYBEU,Москва,329.0
1-BWAKKHQ,Казань,207.2
1-BWAKKHQ,Новосибирск,195.01
1-BWAKKHQ,Санкт-Петербург,965.0
1-BWB14AC,Санкт-Петербург,970.0
1-BWEY3TD,Омск,439.0
1-BWSUBCR,Екатеринбург,161.0
1-BYZZSXU,Волгоград,389.0
1-BYZZSXU,Москва,389.0
1-BZOO3OJ,Москва,1132.0
1-C0MCOLP,Москва,2099.0
1-C0TARQR,Пермь,1100.0
1-C4RSN4X,Москва,290.08
1-C5U8U3I,Москва,2508.15
1-C6DTD5I,Москва,440.0
1-C6VFSQ3,Москва,949.0
1-C6VFSQ3,Челябинск,995.0
1-C7VJ8OP,Нижний Новгород,834.0
1-C8BWQIE,Красноярск,446.88
1-C9UZPGN,Санкт-Петербург,2141.2
1-C9Z90CT,Москва,59.85
1-CAVYSCY,Екатеринбург,930.0
1-CAVYSCY,Ростов-на-Дону,360.0
1-CC96G0U,Москва,1230.88
1-CCKX6J4,Москва,419.0
1-CE56YD2,Москва,19.8
1-CF7AGVA,Екатеринбург,279.65
1-CF7AGVA,Санкт-Петербург,111.0
1-CGT9Z9B,Москва,3863.73
1-CHBXWYH,Санкт-Петербург,2400.0
1-CHDXV00,Новосибирск,568.0
1-CHDXV00,Пермь,364.9
1-CJB7OUD,Москва,669.33
1-CK777A3,Москва,499.0
1-CK7PVPQ,Москва,3297.0
1-CLKT3FQ,Москва,74.5
1-CLP1JC0,Москва,1300.0
1-CMHY2B8,Москва,25.9
1-CN1ARH6,Санкт-Петербург,3602.88
1-CNAB6K9,Екатеринбург,90.0
1-CNAB6K9,Краснодар,139.5
1-CNAB6K9,Москва,474.9
1-CNAB6K9,Санкт-Петербург,940.25
1-CNKZ57O,Москва,97.72
1-CNTKKDT,Нижний Новгород,1675.01
1-CO0V6IK,Санкт-Петербург,918.0
1-CO4H9IR,Москва,1291.54
1-CORS000,Санкт-Петербург,720.0
1-COVON4N,Москва,2321.36
1-CPI1KK0,Новосибирск,149.75
1-CPZW9QC,Москва,436.13
1-CQJHALQ,Омск,1169.1
1-CTJLH4Y,Москва,419.2
1-CTO4EEY,Новосибирск,1299.0
1-CVFX1BW,Краснодар,1552.7
1-CWOLXF9,Москва,1210.29
1-CXGQPS6,Москва,159.8
1-CXIKQOI,Санкт-Петербург,199.8
1-CXJH3CO,Москва,2799.3
1-CXS0J77,Москва,775.0
1-CY7D5VT,Москва,1759.12
1-CY7D5VT,Санкт-Петербург,515.0
1-CY7D5VT,Челябинск,999.0
1-CYQ7RV4,Санкт-Петербург,369.0
1-CYVSTUV,Москва,515.0
1-CZGZVVQ,Санкт-Петербург,72.52
1-CZSRQIF,Санкт-Петербург,928.0
1-D08OOBB,Санкт-Петербург,814.0
1-D0G1JPW,Санкт-Петербург,22.12
1-D1EZGZC,Москва,2111.3
1-D1RCU9E,Москва,59.8
1-D2GL64Y,Москва,319.84
1-D2H4VT1,Москва,77.0
1-D2I7A00,Краснодар,385.0
1-D2I7A00,Москва,385.0
1-D2I7A00,Новосибирск,435.0
1-D2I7A00,Санкт-Петербург,2876.89
1-D2LKFO1,Москва,1185.0
1-D3JWYZU,Москва,133.0
1-D3X1BLR,Екатеринбург,550.0
1-D3X1BLR,Москва,3414.9
1-D3X1BLR,Новосибирск,949.0
1-D482I5P,Москва,1604.31
1-D4HK2W8,Москва,32.28
1-D4HK2W8,Санкт-Петербург,116.9
1-D4J7CTH,Москва,1099.0
1-D56DLWL,Москва,345.05
1-D5GLBQE,Москва,1071.6
1-D64F4JK,Москва,679.0
1-D71ST2V,Нижний Новгород,515.0
1-D7LKN3T,Москва,3124.9500000000003
1-D8DG7RM,Москва,603.79
1-DAU41XU,Новосибирск,412.5
1-DBCP0NW,Екатеринбург,1394.1
1-DBMMRV5,Новосибирск,349.0
1-DC5HR42,Москва,1529.0
1-DFF95QL,Москва,3508.5
1-DFXNTAS,Москва,308.0
1-DFXNTAS,Омск,348.0
1-DHB83UE,Москва,528.61
1-DI720A4,Москва,1249.0
1-DIS9N5Z,Воронеж,636.5
1-DIS9N5Z,Екатеринбург,291.45
1-DIS9N5Z,Москва,1327.25
1-DIS9N5Z,Санкт-Петербург,1151.0
1-DK8P3L1,Москва,1021.44
1-DKK0XSW,Москва,3312.1
1-DKQN914,Москва,463.5
1-DLHS30O,Санкт-Петербург,19.9
1-DM5CBRB,Москва,329.0
1-DNYCTMD,Казань,299.0
1-DPBXWW6,Самара,203.3
1-DQ5016K,Москва,360.0
1-DSQ0VO4,Москва,974.35
1-DU73RF6,Санкт-Петербург,1413.0
1-DULZSFT,Ростов-на-Дону,959.2
1-DVKNMI9,Нижний Новгород,239.25
1-DVKNMI9,Омск,18.9
1-DVKNMI9,Самара,329.0
1-DW5W004,Москва,320.0
1-DWDJVOO,Екатеринбург,174.75
1-DWSPB3O,Москва,1192.0
1-DWSPB3O,Уфа,399.6
1-DXGQTSA,Санкт-Петербург,1348.0
1-DXITL52,Москва,3498.0
1-DXUDSSG,Ростов-на-Дону,2799.3
1-DYFDLB4,Москва,499.0
1-E0Z1MJK,Новосибирск,133.0
1-E0Z1MJK,Самара,745.34
1-E0ZMV13,Москва,399.0
1-E1TEWXM,Санкт-Петербург,725.0
1-E3Q3JPV,Москва,189.0
1-E4KJVYY,Москва,1648.6
1-E55WN7F,Москва,391.0
1-E61AO83,Пермь,104.75
1-E7IVW31,Москва,681.0
1-EAXMW5U,Москва,549.0799999999999
1-EBZJBGU,Екатеринбург,112.25
1-ED4U6SM,Москва,27.89
1-EF2KQJA,Москва,360.01
1-EFL9U7P,Москва,950.89
1-EILNNES,Санкт-Петербург,289.0
1-EIQGQ92,Санкт-Петербург,669.76
1-ELAAJQ5,Москва,811.0
1-ELIY5HH,Ростов-на-Дону,199.0
1-EPCE6XQ,Екатеринбург,249.01
1-EPCE6XQ,Москва,1094.0
1-EPCE6XQ,Самара,1399.0
1-EPCE6XQ,Санкт-Петербург,259.01
1-EPDI5O3,Москва,518.0
1-EQ4WFRE,Москва,1499.0
1-ESNJMDC,Екатеринбург,269.85
1-ESNJMDC,Москва,1120.85
1-ESNJMDC,Пермь,62.25
1-ESNJMDC,Санкт-Петербург,179.85
1-ESNJMDC,Челябинск,279.86
1-EUG76YO,Москва,562.41
1-EV3C8JY,Новосибирск,133.0
1-EV3C8JY,Санкт-Петербург,239.6
1-EX4LVP3,Москва,329.67
1-EX4LVP3,Санкт-Петербург,3789.06
1-EXM7BPY,Санкт-Петербург,128.75
1-F027GF6,Москва,228.15
1-F0KQ60E,Воронеж,420.0
1-F2K7J7G,Нижний Новгород,129.5
1-F2K7J7G,Санкт-Петербург,217.5
1-F2U9WXO,Москва,599.0
1-F30WYJI,Москва,487.2
1-F3DA1IL,Санкт-Петербург,499.0
1-F3N7KHG,Москва,515.0
1-F4VKLQJ,Москва,1796.2
1-F5KWT6N,Москва,949.0
1-F5TKKRU,Санкт-Петербург,1278.5
1-F67R30N,Екатеринбург,2799.3
1-F67R30N,Москва,599.0
1-F67R30N,Пермь,599.0
1-F6SP5HJ,Екатеринбург,29.0
1-F6VZ838,Москва,570.0
1-FAU4066,Москва,725.0
1-FEE1ID6,Москва,399.0
1-FELYVJ9,Москва,2039.6
1-FELYVJ9,Санкт-Петербург,989.1
1-FJJAL20,Москва,133.0
1-FJKRPCI,Санкт-Петербург,299.0
1-FKY1NU8,Москва,224.5
1-FLFL4PU,Екатеринбург,536.95
1-FLQKXMR,Москва,558.88
1-FLU6TOJ,Казань,812.0
1-FLX2HZD,Санкт-Петербург,699.0
1-FM8N5J4,Ростов-на-Дону,329.67
1-FM9O45M,Москва,399.6
1-FMADSHV,Москва,1600.0
1-FNUFCYC,Воронеж,334.88
1-FNUFCYC,Новосибирск,552.16
1-FNUFCYC,Ростов-на-Дону,148.96
1-FNUFCYC,Санкт-Петербург,323.68
1-FNUJMWP,Москва,399.0
1-FR8GXZM,Москва,1160.1
1-FRU9VX6,Санкт-Петербург,600.0
1-FSWTVC4,Самара,348.0
1-FTXMTSZ,Санкт-Петербург,1675.0
1-FUNCL6T,Москва,3709.3
1-FUQ1H8J,Красноярск,259.0
1-FXE3VCN,Москва,831.0
1-G00JVPE,Москва,929.25
1-G1KFPUO,Москва,515.0
1-G2F6C2S,Екатеринбург,799.5
1-G2F6C2S,Москва,32.28
1-J3LPZ0,Москва,319.2
1-J3LPZ0,Санкт-Петербург,499.0
1-KAC20Z,Москва,133.0
1-M0G0UY,Санкт-Петербург,359.8
1-MKR8DH,Красноярск,149.75
1-NO2YLJ,Москва,2900.0
1-NO2YLJ,Пермь,1304.12
1-R90HY4,Санкт-Петербург,759.6
1-SUFIU8,Казань,82.0
4-10AA4BJN,Санкт-Петербург,79.9
4-10E5QTQH,Москва,360.0
4-10EOE72P,Москва,257.5
4-10W6FQEB,Нижний Новгород,999.5
4-10W6FQEB,Санкт-Петербург,279.86
4-10YKKI1P,Москва,499.0
4-113GYJYF,Москва,782.0
4-116NSV1B,Москва,1099.0
4-116PRYM8,Москва,1099.0
4-11NXD4X1,Ростов-на-Дону,249.0
4-11OQWZSV,Москва,2567.0
4-11S0FVTQ,Санкт-Петербург,335.44
4-11SPJV0X,Москва,2333.36
4-11TR5JNN,Ростов-на-Дону,55.25
4-11TR5JNN,Санкт-Петербург,112.5
4-11TYY6VR,Самара,499.0
4-1211KI6F,Москва,999.0
4-12AG6VQR,Москва,930.0
4-12D9EFD1,Краснодар,169.0
4-12KO66WS,Краснодар,79.9
4-12KP6WOR,Москва,199.0
4-12PWGRII,Санкт-Петербург,133.0
4-12QKCD1T,Волгоград,217.5
4-12QKCD1T,Москва,733.6
4-12SOLVSB,Москва,1628.0
4-130FB59J,Москва,1160.1
4-133SI5Y3,Москва,550.0
4-136Q5ZCD,Москва,899.0
4-1399OGXN,Санкт-Петербург,899.0
4-13HGFR1Q,Екатеринбург,199.5
4-13HGFR1Q,Москва,2516.14
4-13IA8EFF,Москва,179.85
4-13NDMYBB,Москва,199.0
4-13PROFET,Москва,894.85
4-13QW6SHF,Нижний Новгород,247.6
4-147AA327,Москва,2399.0
4-149LK356,Екатеринбург,179.85
4-149LK356,Москва,689.85
4-14BV2BMH,Москва,174.5
4-14FTMX7R,Москва,1271.71
4-14U8E98T,Казань,1428.93
4-14XDP057,Москва,1099.0
4-14XDP057,Самара,49.75
4-14XDP057,Челябинск,190.18
4-14ZAWSNV,Санкт-Петербург,900.0
4-152TCKPU,Москва,1029.22
4-154NLKCN,Москва,398.75
4-15DJKOWP,Новосибирск,2398.0
4-15H3SN0K,Москва,3374.0
4-15HCEF7H,Москва,749.0
4-15I65TV9,Москва,499.0
4-15XOG4BJ,Москва,214.17
4-15Y0BHE2,Воронеж,679.0
4-15Y0BHE2,Екатеринбург,62.25
4-15Y0BHE2,Москва,909.67
4-15Y0BHE2,Санкт-Петербург,782.0
4-1614DERN,Москва,541.0
4-16171633,Москва,799.0
4-162BMN19,Москва,559.6
4-1638GTDJ,Москва,558.88
4-167MAKWB,Москва,329.0
4-16C4F88L,Москва,559.2
4-16KR0VQJ,Санкт-Петербург,2199.6
4-16MY5L7R,Москва,679.0
4-16Q1QQWG,Санкт-Петербург,257.5
4-16SYXR1R,Москва,465.0
4-16ZERIJX,Санкт-Петербург,360.01
4-171MBIMC,Москва,340.0
4-172ERH5G,Уфа,345.05
4-172XLD47,Москва,175.0
4-17928T39,Москва,2990.5
4-17EU2LTA,Санкт-Петербург,2434.01
4-17I3CWGZ,Москва,930.0
4-17KJ4RCX,Москва,1337.7
4-17RGVJZX,Екатеринбург,90.0
4-17RGVJZX,Казань,218.7
4-17RGVJZX,Краснодар,137.5
4-17RGVJZX,Красноярск,69.8
4-17RGVJZX,Москва,3486.95
4-17RGVJZX,Нижний Новгород,440.0
4-17RGVJZX,Пермь,684.5
4-17RGVJZX,Санкт-Петербург,618.6
4-17RGVJZX,Челябинск,623.6
4-17U394LH,Москва,360.0
4-17U394LH,Омск,599.0
4-17UMZCF1,Москва,899.0
4-17X88YHF,Новосибирск,369.75
4-17XO7S7L,Москва,725.0
4-17YIY6BH,Москва,217.5
4-17Z1NYL1,Новосибирск,659.34
4-17Z3SPNR,Москва,487.2
4-18IENTLN,Санкт-Петербург,435.0
4-18LS4U6K,Красноярск,929.0
4-18M19W42,Москва,65.6
4-18YK632F,Москва,814.0
4-190ANN7H,Москва,899.0
4-193EM3ZL,Москва,84.0
